date,time,tweet,clase
2023-01-01,0:00:00,"Resuelto, muchísimas gracias , excelente servicio como siempre",0
2023-01-02,0:00:00,"Muchas gracias, espero su dm",1
2023-01-02,0:00:00,Muchas gracias!,0
2023-01-02,0:00:00,Algo similar me paso. Quería renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. Fue más fácil sacar el dinero por ventanilla.,0
2023-01-02,0:00:00,Yeeeei! a través de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del año. Tiene una súper herramienta para domiciliar a mi cuenta eje y así ahorrar disciplinadamente cada semana! Vamos !!! 💪🏼💰,0
2023-01-02,0:00:00,Esta es la señal que necesitan para tener el mínimo dinero en banamex,2
2023-01-03,0:00:00,Gracias 😁,0
2023-01-03,0:00:00,Muchas gracias 😊,0
2023-01-03,0:00:00,"Yo no sé mucho, pero te recomiendo la Inversión de . De los mejores rendimientos que he visto, y plazo a 7 días. También el de está chingón, pero tienen un límite de 20k en inversón.",2
2023-01-04,0:00:00,Gracias por la playera que me dieron en Galerías GDL.,0
2023-01-04,0:00:00,buen día...tengo problemas con mi cuenta,1
2023-01-05,0:00:00,Gracias,0
2023-01-05,0:00:00,Mis Respetos para ustedes... Gracias por el servicio 🙌🏻,0
2023-01-05,0:00:00,"Si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",0
2023-01-06,0:00:00,"Ya todo bien, gracias 👍",0
2023-01-06,0:00:00,Milagro que me gano algo 🫶🏻,0
2023-01-06,0:00:00,Siii amigo jajaja está muy padre y puedes inveir y te da buen rendimiento 🌚,2
2023-01-06,0:00:00,nunca había ganado nada antes ✨ hahaha,0
2023-01-06,0:00:00,Con el CashBack de pude pagar mi servicio de internet. yei :),0
2023-01-07,0:00:00,Gracias!!!,0
2023-01-07,0:00:00,"Listo, gracias",0
2023-01-07,0:00:00,Si gracias,0
2023-01-08,0:00:00,A mí me llegó una semana después aprox,0
2023-01-09,0:00:00,hola buen día tengo algunas dudas con mi cuenta podrían ponerse en contacto... Muchas gracias..,1
2023-01-10,0:00:00,Muchas gracias 🙏,0
2023-01-10,0:00:00,"Bloquea la tarjeta 5 minutos o más, posteriomente la vuelves a desbloquear y ya la agregas. Esa es la solución, me confirmas con un tweet por favor.",1
2023-01-10,0:00:00,"Es de 35,000 UDIS (184,000).De todas las plataformas en las que he inveido las mejores son Finsus y cetes para largo plazo y HeyBanco es para mi la mejor opción para tu fondo de emergencia , ya que tienes liquidez semanal. En Finsus tengo al rededor del 90% de mi poafolio.",2
2023-01-11,0:00:00,Excelente Gracias por responder 🙏 estaremos muy atentos 🤝,0
2023-01-11,0:00:00,"Pues bueno, me quedé sin cena, muchas gracias 👍",0
2023-01-11,0:00:00,"Gracias e igualmente, bendiciones 🙏",0
2023-01-11,0:00:00,Vale estoy esperando,1
2023-01-11,0:00:00,Muchas gracias espero la respuesta,1
